manager_key,manager_qid,club_qid,prec_da,prec_a,wd_da,wd_a
roberto de zerbi,Q2032119,Q139399,11.0,11.0,2014-07-01,2016-08-14
roberto de zerbi,Q2032119,Q2674,11.0,11.0,2016-09-06,2016-11-30
roberto de zerbi,Q2032119,Q652516,11.0,11.0,2017-10-23,2018-06-30
roberto de zerbi,Q2032119,Q8603,11.0,11.0,2018-07-01,2021-05-24
roberto de zerbi,Q2032119,Q172969,11.0,11.0,2021-05-25,2022-07-11
roberto de zerbi,Q2032119,Q19453,11.0,10.0,2022-09-18,2024-06-01
roberto de zerbi,Q2032119,Q132885,11.0,11.0,2024-06-29,2026-02-11
roberto de zerbi,Q2032119,Q18741,11.0,,2026-03-31,
sean dyche,Q10599,Q2714,9.0,9.0,2011-01-01,2012-01-01
sean dyche,Q10599,Q19458,9.0,9.0,2012-01-01,2022-01-01
sean dyche,Q10599,Q5794,9.0,11.0,2023-01-01,2025-01-09
sean dyche,Q10599,Q19490,11.0,11.0,2025-10-21,2026-02-12
carlo ancelotti,Q174614,Q289707,9.0,9.0,1995-01-01,1996-01-01
carlo ancelotti,Q174614,Q2693,9.0,9.0,1996-01-01,1998-01-01
carlo ancelotti,Q174614,Q1422,10.0,11.0,1999-02-01,2001-06-17
carlo ancelotti,Q174614,Q1543,11.0,11.0,2001-11-05,2009-05-31
carlo ancelotti,Q174614,Q9616,11.0,11.0,2009-06-01,2011-05-22
carlo ancelotti,Q174614,Q483020,11.0,11.0,2011-12-30,2013-05-19
carlo ancelotti,Q174614,Q8682,11.0,11.0,2013-06-25,2015-05-25
carlo ancelotti,Q174614,Q15789,11.0,11.0,2016-07-01,2017-09-28
carlo ancelotti,Q174614,Q2641,11.0,11.0,2018-05-23,2019-12-10
carlo ancelotti,Q174614,Q5794,11.0,11.0,2019-12-21,2021-05-31
carlo ancelotti,Q174614,Q8682,11.0,11.0,2021-06-01,2025-05-24
carlo ancelotti,Q174614,Q83459,11.0,,2025-05-26,
jurgen klopp,Q83106,Q1130849,9.0,9.0,2015-01-01,2024-01-01
jurgen klopp,Q83106,Q41420,9.0,9.0,2008-01-01,2015-01-01
jurgen klopp,Q83106,Q105254,9.0,9.0,2001-01-01,2008-01-01
jurgen klopp,Q83106,Q43310,11.0,,2026-08-15,
stefano pioli,Q923088,Q2052,11.0,11.0,2017-06-06,2019-04-09
stefano pioli,Q923088,Q631,11.0,11.0,2016-11-08,2017-05-09
stefano pioli,Q923088,Q2609,11.0,11.0,2014-06-12,2016-04-03
stefano pioli,Q923088,Q1893,11.0,11.0,2011-10-04,2014-01-07
stefano pioli,Q923088,Q2674,11.0,11.0,2011-06-02,2011-08-31
stefano pioli,Q923088,Q2037,11.0,11.0,2010-06-10,2011-06-02
stefano pioli,Q923088,Q8603,11.0,11.0,2009-06-12,2010-06-09
stefano pioli,Q923088,Q459794,11.0,11.0,2008-06-11,2009-06-05
stefano pioli,Q923088,Q6721,11.0,11.0,2007-09-11,2008-06-11
stefano pioli,Q923088,Q2693,11.0,11.0,2006-06-05,2007-02-12
stefano pioli,Q923088,Q8408,11.0,11.0,2006-02-08,2006-06-05
stefano pioli,Q923088,Q8408,11.0,11.0,2004-06-15,2006-01-22
stefano pioli,Q923088,Q847587,11.0,11.0,2003-07-01,2004-06-10
stefano pioli,Q923088,Q1543,11.0,10.0,2019-10-09,2024-06-01
stefano pioli,Q923088,Q482764,11.0,11.0,2024-09-18,2025-06-25
stefano pioli,Q923088,Q2052,11.0,11.0,2025-07-12,2025-11-04
maurizio sarri,Q3852721,Q2087988,11.0,11.0,2000-07-01,2003-06-30
maurizio sarri,Q3852721,Q9616,11.0,11.0,2018-06-14,2019-06-16
maurizio sarri,Q3852721,Q2641,11.0,11.0,2015-05-11,2018-05-23
maurizio sarri,Q3852721,Q6703,11.0,11.0,2012-05-25,2015-05-04
maurizio sarri,Q3852721,Q1508747,11.0,11.0,2011-06-06,2011-11-13
maurizio sarri,Q3852721,Q16348,11.0,11.0,2010-06-06,2011-05-24
maurizio sarri,Q3852721,Q6721,11.0,11.0,2010-02-24,2010-05-30
maurizio sarri,Q3852721,Q16344,11.0,11.0,2008-08-23,2009-01-15
maurizio sarri,Q3852721,Q8639,11.0,11.0,2007-12-01,2008-01-27
maurizio sarri,Q3852721,Q298217,11.0,11.0,2007-06-18,2007-07-23
maurizio sarri,Q3852721,Q297430,11.0,11.0,2006-10-01,2007-02-13
maurizio sarri,Q3852721,Q2710,11.0,11.0,2005-06-09,2006-05-30
maurizio sarri,Q3852721,Q289696,11.0,11.0,2003-06-01,2005-05-30
maurizio sarri,Q3852721,Q1422,11.0,11.0,2019-06-16,2020-08-08
maurizio sarri,Q3852721,Q2609,11.0,11.0,2021-06-09,2024-03-12
maurizio sarri,Q3852721,Q2609,11.0,11.0,2025-06-02,2026-05-27
maurizio sarri,Q3852721,Q1886,11.0,,2026-06-15,
david moyes,Q297252,Q19612,11.0,11.0,1998-01-12,2002-03-13
david moyes,Q297252,Q5794,11.0,11.0,2002-03-14,2013-06-30
david moyes,Q297252,Q18656,11.0,11.0,2013-07-01,2014-04-22
david moyes,Q297252,Q10315,11.0,11.0,2014-11-10,2015-11-09
david moyes,Q297252,Q18739,11.0,11.0,2016-07-23,2017-05-22
david moyes,Q297252,Q18747,11.0,11.0,2017-11-07,2018-05-16
david moyes,Q297252,Q18747,11.0,11.0,2019-12-29,2024-05-19
david moyes,Q297252,Q5794,11.0,,2025-01-11,
michel der zakarian,Q965558,Q19513,11.0,11.0,2017-05-23,2021-06-30
michel der zakarian,Q965558,Q192071,11.0,11.0,2007-02-12,2008-08-26
michel der zakarian,Q965558,Q870182,11.0,11.0,2009-07-01,2012-05-30
michel der zakarian,Q965558,Q192071,11.0,11.0,2012-05-31,2016-05-15
michel der zakarian,Q965558,Q208228,11.0,11.0,2016-05-23,2017-05-23
michel der zakarian,Q965558,Q218372,11.0,11.0,2021-07-01,2022-10-11
michel der zakarian,Q965558,Q19513,11.0,11.0,2023-02-08,2024-10-20
mikel arteta,Q185572,Q9617,9.0,,2019-01-01,
ernesto valverde,Q359118,Q7156,11.0,11.0,2017-07-01,2020-01-13
ernesto valverde,Q359118,Q8687,11.0,11.0,2013-07-01,2017-06-30
ernesto valverde,Q359118,Q10333,11.0,11.0,2012-12-03,2013-06-20
ernesto valverde,Q359118,Q19628,11.0,11.0,2010-08-08,2012-06-30
ernesto valverde,Q359118,Q12297,11.0,11.0,2009-06-02,2010-01-31
ernesto valverde,Q359118,Q19628,11.0,11.0,2008-06-11,2009-05-25
ernesto valverde,Q359118,Q8780,11.0,11.0,2006-05-26,2008-05-26
ernesto valverde,Q359118,Q8687,11.0,11.0,2003-07-01,2005-06-21
ernesto valverde,Q359118,Q794970,11.0,11.0,2002-07-01,2003-06-30
ernesto valverde,Q359118,Q8687,9.0,,2022-01-01,
antonio conte,Q26580,Q297430,11.0,11.0,2006-07-01,2006-10-31
antonio conte,Q26580,Q297430,11.0,11.0,2007-03-13,2007-06-30
antonio conte,Q26580,Q6641,11.0,11.0,2007-12-28,2009-06-23
antonio conte,Q26580,Q1886,11.0,11.0,2009-09-21,2010-01-07
antonio conte,Q26580,Q2756,11.0,11.0,2010-05-23,2011-05-30
antonio conte,Q26580,Q1422,11.0,11.0,2011-05-31,2012-06-30
antonio conte,Q26580,Q1422,11.0,11.0,2012-12-09,2014-07-15
antonio conte,Q26580,Q676899,11.0,11.0,2014-08-19,2016-06-30
antonio conte,Q26580,Q9616,11.0,11.0,2016-07-01,2018-07-13
antonio conte,Q26580,Q631,11.0,11.0,2019-05-31,2021-05-26
antonio conte,Q26580,Q18741,11.0,11.0,2021-11-02,2023-03-26
antonio conte,Q26580,Q2641,11.0,11.0,2024-06-05,2026-05-24
niko kovac,Q154305,Q15789,11.0,11.0,2018-07-01,2019-11-03
niko kovac,Q154305,Q38245,11.0,11.0,2016-03-08,2018-06-30
niko kovac,Q154305,Q2331381,11.0,11.0,2013-01-21,2013-10-16
niko kovac,Q154305,Q180305,11.0,11.0,2020-07-19,2022-01-01
niko kovac,Q154305,Q134479,11.0,11.0,2013-10-17,2015-09-09
niko kovac,Q154305,Q101859,11.0,11.0,2022-07-01,2024-03-17
niko kovac,Q154305,Q41420,11.0,,2025-01-30,
bruno genesio,Q2926833,Q1515369,9.0,9.0,2005-01-01,2006-01-01
bruno genesio,Q2926833,Q3076548,9.0,9.0,1999-01-01,2001-01-01
bruno genesio,Q2926833,Q704,10.0,10.0,2015-12-01,2019-06-01
bruno genesio,Q2926833,Q814738,10.0,11.0,2019-07-01,2021-01-06
bruno genesio,Q2926833,Q19509,11.0,,2021-03-04,
ivan juric,Q556688,Q8639,11.0,,2019-06-14,
ivan juric,Q556688,Q2739,11.0,,2024-09-18,
christian streich,Q129121,Q106394,11.0,11.0,2011-12-29,2024-06-30
pepe bordalas,Q3323802,Q10750304,,,,
pepe bordalas,Q3323802,Q8806,10.0,,2023-04-01,
marco silva,Q6757714,Q2714,11.0,11.0,2017-05-27,2018-01-21
marco silva,Q6757714,Q5794,11.0,11.0,2018-05-31,2019-12-05
marco silva,Q6757714,Q634829,11.0,11.0,2011-09-27,2014-05-21
marco silva,Q6757714,Q75729,11.0,11.0,2014-05-21,2015-06-04
marco silva,Q6757714,Q19628,11.0,11.0,2015-07-08,2016-06-23
marco silva,Q6757714,Q19477,11.0,11.0,2017-01-05,2017-05-25
marco silva,Q6757714,Q18708,11.0,11.0,2021-07-01,2026-06-02
marco silva,Q6757714,Q131499,11.0,,2026-06-10,
vincenzo italiano,Q1091404,Q1893,11.0,,2024-06-05,
massimiliano allegri,Q354529,Q1422,11.0,11.0,2014-07-16,2019-06-16
massimiliano allegri,Q354529,Q1543,11.0,11.0,2010-05-25,2013-12-13
massimiliano allegri,Q354529,Q1900,11.0,11.0,2008-04-29,2010-03-13
massimiliano allegri,Q354529,Q8603,11.0,11.0,2007-06-17,2008-04-28
massimiliano allegri,Q354529,Q944876,11.0,11.0,2007-06-01,2007-06-17
massimiliano allegri,Q354529,Q6721,11.0,11.0,2006-03-17,2006-09-29
massimiliano allegri,Q354529,Q6721,11.0,11.0,2005-06-19,2005-09-26
massimiliano allegri,Q354529,Q13385,11.0,11.0,2004-06-01,2005-04-30
massimiliano allegri,Q354529,Q1422,11.0,11.0,2021-07-01,2024-05-17
massimiliano allegri,Q354529,Q1543,11.0,11.0,2025-05-30,2026-05-25
massimiliano allegri,Q354529,Q2641,11.0,,2026-05-28,
ralph hasenhuttl,Q874628,Q18732,,,,
ralph hasenhuttl,Q874628,Q702455,,,,
ralph hasenhuttl,Q874628,Q170117,,,,
ralph hasenhuttl,Q874628,Q692586,,,,
ralph hasenhuttl,Q874628,Q158121,,,,
ralph hasenhuttl,Q874628,Q101859,,11.0,,2025-05-04
oliver glasner,Q874777,Q457460,9.0,9.0,2014-01-01,2015-01-01
oliver glasner,Q874777,Q392310,9.0,9.0,2015-01-01,2019-01-01
oliver glasner,Q874777,Q101859,9.0,9.0,2019-01-01,2021-01-01
oliver glasner,Q874777,Q38245,9.0,9.0,2021-01-01,2023-01-01
oliver glasner,Q874777,Q19467,9.0,9.0,2024-01-01,2026-01-01
oliver glasner,Q874777,Q19490,10.0,,2026-07-01,
antoine kombouare,Q586555,Q483020,9.0,9.0,2009-01-01,2011-01-01
antoine kombouare,Q586555,Q19518,11.0,11.0,2019-10-14,2020-01-05
antoine kombouare,Q586555,Q126334,9.0,9.0,2003-01-01,2004-01-01
antoine kombouare,Q586555,Q192071,11.0,,2021-02-11,
nuno espirito santo,Q372372,Q622432,9.0,9.0,2012-01-01,2014-01-01
nuno espirito santo,Q372372,Q10333,9.0,9.0,2014-01-01,2015-01-01
nuno espirito santo,Q372372,Q128446,9.0,9.0,2016-01-01,2017-01-01
nuno espirito santo,Q372372,Q19500,9.0,9.0,2017-01-01,2021-01-01
nuno espirito santo,Q372372,Q18741,9.0,9.0,2021-01-01,2021-01-01
nuno espirito santo,Q372372,Q309480,9.0,9.0,2022-01-01,2023-01-01
nuno espirito santo,Q372372,Q19490,9.0,11.0,2023-01-01,2025-09-09
nuno espirito santo,Q372372,Q18747,11.0,,2025-09-27,
paulo fonseca,Q10346582,Q172969,11.0,11.0,2016-06-01,2019-06-10
paulo fonseca,Q10346582,Q75684,11.0,11.0,2015-07-01,2016-05-31
paulo fonseca,Q10346582,Q371136,11.0,11.0,2014-07-01,2015-06-30
paulo fonseca,Q10346582,Q128446,11.0,11.0,2013-06-10,2014-03-05
paulo fonseca,Q10346582,Q371136,11.0,11.0,2012-05-28,2013-06-09
paulo fonseca,Q10346582,Q1023163,11.0,11.0,2011-06-07,2012-05-27
paulo fonseca,Q10346582,Q2980334,11.0,11.0,2009-07-01,2011-06-30
paulo fonseca,Q10346582,Q3349296,11.0,11.0,2008-07-01,2009-06-30
paulo fonseca,Q10346582,Q1323096,11.0,11.0,2007-07-01,2008-06-30
paulo fonseca,Q10346582,Q2739,11.0,11.0,2019-06-10,2021-06-30
paulo fonseca,Q10346582,Q19516,11.0,11.0,2022-07-01,2024-06-05
paulo fonseca,Q10346582,Q1543,11.0,11.0,2024-06-13,2024-12-29
paulo fonseca,Q10346582,Q704,11.0,,2025-01-31,
claudio ranieri,Q235068,Q18708,11.0,11.0,2018-11-14,2019-02-28
claudio ranieri,Q235068,Q192071,11.0,11.0,2017-07-01,2018-05-17
claudio ranieri,Q235068,Q19481,11.0,11.0,2015-07-13,2017-02-23
claudio ranieri,Q235068,Q134925,11.0,11.0,2014-07-25,2014-11-15
claudio ranieri,Q235068,Q180305,11.0,11.0,2012-05-30,2014-05-20
claudio ranieri,Q235068,Q631,11.0,11.0,2011-09-22,2012-03-26
claudio ranieri,Q235068,Q2739,11.0,11.0,2009-09-01,2011-02-20
claudio ranieri,Q235068,Q1422,11.0,11.0,2007-07-01,2009-05-18
claudio ranieri,Q235068,Q2693,11.0,11.0,2007-02-13,2007-06-30
claudio ranieri,Q235068,Q10333,11.0,11.0,2004-07-01,2005-02-25
claudio ranieri,Q235068,Q9616,11.0,11.0,2000-09-18,2004-06-30
claudio ranieri,Q235068,Q8701,11.0,11.0,1999-07-01,2000-03-03
claudio ranieri,Q235068,Q10333,11.0,11.0,1997-09-20,1999-06-30
claudio ranieri,Q235068,Q2052,11.0,11.0,1993-07-01,1997-06-30
claudio ranieri,Q235068,Q2641,11.0,11.0,1991-07-01,1992-11-22
claudio ranieri,Q235068,Q1900,11.0,11.0,1988-07-01,1991-06-30
claudio ranieri,Q235068,Q15140971,11.0,11.0,1988-05-09,1988-06-30
claudio ranieri,Q235068,Q15140971,11.0,11.0,1987-07-01,1988-01-25
claudio ranieri,Q235068,Q1948889,11.0,11.0,1986-07-01,1987-06-30
claudio ranieri,Q235068,Q2739,11.0,11.0,2019-03-08,2019-06-10
claudio ranieri,Q235068,Q1457,11.0,11.0,2019-10-11,2021-06-30
claudio ranieri,Q235068,Q2714,11.0,11.0,2021-10-04,2022-01-24
claudio ranieri,Q235068,Q1900,11.0,11.0,2022-12-23,2024-05-23
claudio ranieri,Q235068,Q2739,11.0,10.0,2024-11-14,2025-06-01
patrick vieira,Q46347,Q13361030,9.0,9.0,2016-01-01,2018-01-01
patrick vieira,Q46347,Q185163,9.0,9.0,2018-01-01,2020-01-01
patrick vieira,Q46347,Q19467,11.0,11.0,2021-02-04,2023-03-17
patrick vieira,Q46347,Q126334,11.0,11.0,2023-07-02,2024-07-18
patrick vieira,Q46347,Q2074,11.0,,2024-11-20,
eusebio di francesco,Q396154,Q8648,11.0,11.0,2008-06-23,2009-01-27
eusebio di francesco,Q396154,Q2710,11.0,11.0,2010-01-12,2011-06-22
eusebio di francesco,Q396154,Q13391,11.0,11.0,2011-06-24,2011-12-04
eusebio di francesco,Q396154,Q8603,11.0,11.0,2012-06-19,2014-01-28
eusebio di francesco,Q396154,Q8603,11.0,11.0,2014-03-03,2017-06-12
eusebio di francesco,Q396154,Q2739,11.0,11.0,2017-06-13,2019-03-07
eusebio di francesco,Q396154,Q1457,9.0,9.0,2020-01-01,2021-01-01
eusebio di francesco,Q396154,Q1900,9.0,10.0,2020-01-01,2021-02-01
eusebio di francesco,Q396154,Q8639,10.0,10.0,2021-08-01,2021-09-01
eusebio di francesco,Q396154,Q845043,9.0,9.0,2023-01-01,2024-01-01
eusebio di francesco,Q396154,Q501245,10.0,11.0,2024-06-01,2025-06-26
eusebio di francesco,Q396154,Q13391,11.0,,2025-06-26,
franck haise,Q3082153,Q191843,11.0,9.0,2020-02-25,2024-01-01
franck haise,Q3082153,Q109507691,9.0,9.0,2003-01-01,2006-01-01
franck haise,Q3082153,Q3550524,9.0,9.0,2012-01-01,2013-01-01
franck haise,Q3082153,Q185163,11.0,,2024-06-06,
jose mourinho,Q79983,Q18656,11.0,11.0,2016-05-27,2018-12-18
jose mourinho,Q79983,Q131499,11.0,11.0,2000-09-20,2000-12-05
jose mourinho,Q79983,Q211401,11.0,11.0,2001-04-02,2002-01-06
jose mourinho,Q79983,Q128446,11.0,11.0,2002-01-23,2004-06-30
jose mourinho,Q79983,Q9616,11.0,11.0,2004-07-01,2007-09-20
jose mourinho,Q79983,Q631,11.0,11.0,2008-06-02,2010-05-30
jose mourinho,Q79983,Q8682,11.0,11.0,2010-05-31,2013-06-30
jose mourinho,Q79983,Q9616,11.0,11.0,2013-07-01,2015-12-17
jose mourinho,Q79983,Q18741,11.0,11.0,2019-11-19,2021-04-19
jose mourinho,Q79983,Q2739,11.0,11.0,2021-07-01,2024-01-16
jose mourinho,Q79983,Q6601875,11.0,11.0,2024-06-02,2025-08-29
jose mourinho,Q79983,Q131499,11.0,11.0,2025-09-18,2026-05-30
jose mourinho,Q79983,Q8682,11.0,,2026-07-08,
roy hodgson,Q203781,Q19467,11.0,11.0,2017-09-12,2021-05-23
roy hodgson,Q203781,Q2714,11.0,11.0,2022-01-25,2022-05-22
roy hodgson,Q203781,Q19467,11.0,11.0,2023-03-21,2024-02-15
roy hodgson,Q203781,Q584858,11.0,11.0,1976-01-01,1980-09-30
roy hodgson,Q203781,Q19456,11.0,11.0,1982-01-03,1982-04-30
roy hodgson,Q203781,Q260559,11.0,11.0,1983-01-01,1984-06-30
roy hodgson,Q203781,Q204881,11.0,11.0,1985-04-14,1989-11-15
roy hodgson,Q203781,Q335195,11.0,11.0,1990-07-01,1991-12-31
roy hodgson,Q203781,Q165141,11.0,11.0,1992-01-26,1995-11-15
roy hodgson,Q203781,Q631,11.0,11.0,1995-10-16,1997-05-19
roy hodgson,Q203781,Q19446,11.0,11.0,1997-06-01,1998-11-21
roy hodgson,Q203781,Q631,11.0,11.0,1999-04-27,1999-06-30
roy hodgson,Q203781,Q201360,11.0,11.0,1999-08-02,2000-06-30
roy hodgson,Q203781,Q188430,11.0,11.0,2000-07-01,2001-06-30
roy hodgson,Q203781,Q2798,11.0,11.0,2001-07-01,2001-12-10
roy hodgson,Q203781,Q235910,11.0,11.0,2002-04-11,2004-04-30
roy hodgson,Q203781,Q211177,11.0,11.0,2004-07-11,2005-12-20
roy hodgson,Q203781,Q186532,11.0,11.0,2006-01-01,2007-11-29
roy hodgson,Q203781,Q18708,11.0,11.0,2007-12-30,2010-07-01
roy hodgson,Q203781,Q1130849,11.0,11.0,2010-07-01,2011-01-08
roy hodgson,Q203781,Q18744,11.0,11.0,2011-02-14,2012-05-14
roy hodgson,Q203781,Q47762,11.0,11.0,2012-05-14,2016-06-27
roy hodgson,Q203781,Q19456,11.0,,2026-03-27,
christophe galtier,Q129023,Q19521,9.0,9.0,2009-01-01,2017-01-01
christophe galtier,Q129023,Q19516,9.0,9.0,2017-01-01,2021-01-01
christophe galtier,Q129023,Q185163,9.0,9.0,2021-01-01,2022-01-01
christophe galtier,Q129023,Q483020,9.0,11.0,2022-01-01,2023-07-05
christophe galtier,Q129023,Q1056948,11.0,11.0,2023-10-12,2025-05-27
christophe galtier,Q129023,Q12247491,11.0,,2025-07-05,
julian nagelsmann,Q21226404,Q22707,9.0,9.0,2016-01-01,2019-01-01
julian nagelsmann,Q21226404,Q702455,9.0,9.0,2019-01-01,2021-01-01
julian nagelsmann,Q21226404,Q15789,11.0,11.0,2021-07-01,2023-03-24
julian nagelsmann,Q21226404,Q43310,11.0,11.0,2023-09-22,2026-07-03
andoni iraola,Q317216,Q291447,9.0,9.0,2018-01-01,2019-01-01
andoni iraola,Q317216,Q11997,9.0,9.0,2019-01-01,2020-01-01
andoni iraola,Q317216,Q10300,9.0,9.0,2020-01-01,2023-01-01
andoni iraola,Q317216,Q19568,9.0,10.0,2023-01-01,2026-05-01
andoni iraola,Q317216,Q1130849,11.0,,2026-06-04,
thomas tuchel,Q702233,Q483020,11.0,11.0,2018-07-01,2020-12-23
thomas tuchel,Q702233,Q41420,11.0,11.0,2015-07-01,2017-05-30
thomas tuchel,Q702233,Q105254,11.0,11.0,2009-08-03,2014-05-10
thomas tuchel,Q702233,Q62018651,11.0,11.0,2008-07-01,2009-08-03
thomas tuchel,Q702233,Q5424829,11.0,11.0,2007-01-01,2008-06-30
thomas tuchel,Q702233,Q62018657,11.0,11.0,2005-07-01,2005-12-31
thomas tuchel,Q702233,Q9616,10.0,11.0,2021-01-01,2022-09-07
thomas tuchel,Q702233,Q15789,11.0,11.0,2023-03-24,2024-06-30
thomas tuchel,Q702233,Q47762,9.0,,2025-01-01,
olivier dall oglio,Q2399059,Q1757655,,,,
olivier dall oglio,Q2399059,Q503317,,,,
olivier dall oglio,Q2399059,Q218372,11.0,11.0,2019-05-31,2021-06-30
olivier dall oglio,Q2399059,Q19513,11.0,,2021-07-01,
mauricio pochettino,Q313000,Q18741,11.0,11.0,2014-05-27,2019-11-19
mauricio pochettino,Q313000,Q18732,11.0,11.0,2013-01-18,2014-05-26
mauricio pochettino,Q313000,Q8780,11.0,11.0,2009-01-20,2012-11-26
mauricio pochettino,Q313000,Q483020,11.0,11.0,2021-01-02,2022-07-05
mauricio pochettino,Q313000,Q9616,11.0,11.0,2023-07-01,2024-05-21
mauricio pochettino,Q313000,Q164134,11.0,,2024-09-10,
jose luis mendilibar,Q460576,Q10329,,9.0,,2023-01-01
luciano spalletti,Q310813,Q6703,11.0,11.0,1994-04-18,1994-06-30
luciano spalletti,Q310813,Q6703,11.0,11.0,1995-07-01,1998-06-30
luciano spalletti,Q310813,Q1457,11.0,11.0,1998-07-01,1998-12-14
luciano spalletti,Q310813,Q1457,11.0,11.0,1999-02-01,1999-06-30
luciano spalletti,Q310813,Q501245,11.0,11.0,1999-07-01,1999-11-01
luciano spalletti,Q310813,Q501245,11.0,11.0,1999-11-29,2000-02-07
luciano spalletti,Q310813,Q2798,11.0,11.0,2001-03-19,2001-06-30
luciano spalletti,Q310813,Q20706646,11.0,11.0,2001-12-28,2002-06-30
luciano spalletti,Q310813,Q2798,11.0,11.0,2002-07-01,2005-06-17
luciano spalletti,Q310813,Q2739,11.0,11.0,2005-06-17,2009-08-31
luciano spalletti,Q310813,Q29108,11.0,11.0,2009-12-11,2014-03-10
luciano spalletti,Q310813,Q2739,11.0,11.0,2016-01-14,2017-05-30
luciano spalletti,Q310813,Q631,11.0,11.0,2017-06-09,2019-05-30
luciano spalletti,Q310813,Q2641,11.0,11.0,2021-06-01,2023-08-18
luciano spalletti,Q310813,Q676899,11.0,11.0,2023-08-18,2025-06-08
luciano spalletti,Q310813,Q1422,11.0,,2025-10-30,
thomas frank,Q13469562,Q19571,11.0,11.0,2018-10-16,2025-06-30
thomas frank,Q13469562,Q211906,11.0,11.0,2013-06-11,2016-03-09
thomas frank,Q13469562,Q18741,11.0,11.0,2025-07-01,2026-02-11
julen lopetegui,Q115119,Q10329,11.0,11.0,2019-05-29,2022-10-05
julen lopetegui,Q115119,Q10300,9.0,9.0,2003-01-01,2003-01-01
julen lopetegui,Q115119,Q12217,9.0,9.0,2008-01-01,2009-01-01
julen lopetegui,Q115119,Q2713491,9.0,9.0,2010-01-01,2013-01-01
julen lopetegui,Q115119,Q2356290,9.0,9.0,2010-01-01,2014-01-01
julen lopetegui,Q115119,Q1129595,9.0,11.0,2012-01-01,2014-04-30
julen lopetegui,Q115119,Q128446,11.0,11.0,2014-05-06,2016-01-08
julen lopetegui,Q115119,Q42267,11.0,11.0,2016-07-21,2018-06-13
julen lopetegui,Q115119,Q8682,11.0,11.0,2018-06-12,2018-10-29
julen lopetegui,Q115119,Q19500,11.0,11.0,2022-11-05,2023-08-08
julen lopetegui,Q115119,Q18747,11.0,11.0,2024-05-23,2025-01-08
julen lopetegui,Q115119,Q232731,11.0,,2025-05-01,
marco baroni,Q1317738,Q759482,11.0,11.0,2019-10-08,2020-01-08
marco baroni,Q1317738,Q845043,11.0,11.0,2018-12-19,2019-06-02
marco baroni,Q1317738,Q8476,9.0,9.0,2020-01-01,2021-01-01
marco baroni,Q1317738,Q13391,9.0,,2021-01-01,
urs fischer,Q347771,Q206692,11.0,11.0,2010-04-19,2012-03-12
urs fischer,Q347771,Q464775,11.0,11.0,2013-01-01,2015-06-17
urs fischer,Q347771,Q189671,11.0,11.0,2015-07-01,2017-06-30
urs fischer,Q347771,Q141971,11.0,11.0,2018-06-01,2023-11-15
steffen baumgart,Q2338559,Q155730,11.0,11.0,2009-04-01,2010-03-23
steffen baumgart,Q2338559,Q832354,11.0,11.0,2014-03-01,2015-06-30
steffen baumgart,Q2338559,Q692704,11.0,11.0,2015-07-01,2016-08-31
