priorita,club,allenatore,nostro_da,nostro_a,partite,ruolo,in_carica,confidenza,refutazione,verdetto,nota_breve,fonte
1,Atlético de Madrid,Nelson Vivas,2025-01-04,2025-01-04,1,vice,Diego Simeone,alta,non_controllato,nome_diverso,Vivas è il primo assistente di Simeone: guidò l'Atlético il 04/01/2025 in Coppa del Re col Marbella perché il ,https://www.eldesmarque.com/futbol/atletico-de-madrid/20250105/nelson-vivas-continua-mensaje-simeone-trabajaremos-exigencia-humildad-hasta-final_300545170.html | https://en.wikipedia.org/wiki/Nelson_Vivas
1,Eintracht Frankfurt,Jan Fießer,2025-01-23,2025-01-23,1,vice,Dino Toppmöller,alta,non_controllato,nome_diverso,Nell'Europa League col Ferencváros (23/01/2025) Toppmöller era squalificato in tribuna per il rosso di Lione e,https://sport.sky.de/fussball/frankfurt-vs-ferencvaros/spielbericht/521858 | https://en.wikipedia.org/wiki/2024%E2%80%9325_Eintracht_Frankfurt_season
1,Bayern Munich,Peter Hermann,2018-02-10,2018-02-10,1,vice,Jupp Heynckes,alta,non_controllato,nome_diverso,"Bayern-Schalke del 10/02/2018: Heynckes assente per un'infezione alle vie respiratorie, in panchina il suo Co-",https://web.de/magazine/sport/fussball/bundesliga/erkrankter-heynckes-bayern-bank-schalke-32795244 | https://www.media-sportservice.de/2018/02/10/fc-bayern-muenchen-ohne-jupp-heynckes-gegen-schalke-04/ | https://sport.sky.de/fussball/fc-bayern-vs-schalke-04/spielbericht/377705
1,Everton FC,Ian Woan,2024-02-10,2024-02-10,1,vice,Sean Dyche,alta,non_controllato,nome_diverso,A Manchester City-Everton del 10/02/2024 in panchina andò l'assistente Ian Woan perché Dyche scontava un turno,https://www.espn.co.uk/football/report/_/gameId/671264 | https://www.everton.news/sean-dyche-left-baffled-over-premier-league-rules-amid-everton-touchline-ban/
1,Everton FC,Leighton Baines,2025-01-09,2025-01-09,1,traghettatore,Leighton Baines,alta,non_controllato,nome_diverso,"Dyche fu esonerato tre ore prima di Everton-Peterborough (FA Cup, 09/01/2025) e la squadra fu affidata ad inte",https://www.outlookindia.com/sports/football/everton-vs-peterborough-united-fa-cup-leighton-baines-hails-hosts-commitment-after-third-round-win | https://www.wigantoday.net/sport/football/wigan-athletic-old-boy-placed-in-joint-interim-charge-at-everton-4937663 | https://en.wikipedia.org/wiki/2024%E2%80%9325_Everton_F.C._season
1,Liverpool FC,Neil Critchley,2020-02-04,2020-02-04,1,vice,Jürgen Klopp,alta,non_controllato,nome_diverso,"Replay di FA Cup col Shrewsbury: Klopp, in carica senza interruzione, rispettò la sosta invernale e mandò la s",https://www.liverpoolfc.com/news/first-team/385728-press-conference-neil-critchley-on-fa-cup-replay-with-shrewsbury | https://feeds.bbci.co.uk/sport/football/51256760
1,FC Schalke 04,Matthias Kreutzer,2022-10-23,2022-10-23,1,traghettatore,Matthias Kreutzer,alta,non_controllato,nome_diverso,"Vice di Kramer, promosso ad interim dopo l'esonero del 19-20/10/2022: guidò la sola gara con l'Hertha (1-2) pr",https://www.kicker.de/nach-kramer-aus-kreutzer-coacht-schalke-in-berlin-922222/artikel | https://en.wikipedia.org/wiki/2022%E2%80%9323_FC_Schalke_04_season | https://en.wikipedia.org/wiki/Matthias_Kreutzer
1,1.FSV Mainz 05,Babak Keyhanfar,2022-01-22,2022-01-22,1,vice,Bo Svensson,alta,non_controllato,nome_diverso,"Svensson, squalificato per accumulo di ammonizioni, seguì Fürth-Mainz dalla tribuna (discorso dell'intervallo ",https://www.t-online.de/region/mainz/news/id_91525926/mainz-in-fuerth-mit-keyhanfar-als-svensson-vertreter.html | https://www.kicker.de/babak-wer-samstag-uebernimmt-svenssons-assistent-bei-mainz-05-886844/artikel | https://merkurist.de/mainz/fussball-bundesliga-mainz-trainer-svensson-gesperrt_zIs
1,1.FSV Mainz 05,Benjamin Hoffmann,2025-12-05,2025-12-05,1,traghettatore,Benjamin Hoffmann,alta,non_controllato,nome_diverso,"Allenatore della U23 del Mainz, ad interim dopo la separazione da Bo Henriksen (03/12/2025): una sola gara (0-",https://de.wikipedia.org/wiki/Benjamin_Hoffmann_(Fu%C3%9Fballtrainer) | https://www.mainz05.de/news/bo-henriksen-nicht-mehr-05-trainer | https://en.wikipedia.org/wiki/2025%E2%80%9326_1._FSV_Mainz_05_season
1,FC Girondins Bordeaux,Eric Bedouet,2018-01-20,2018-01-20,1,traghettatore,"Éric Bedouet (ad interim); titolare uscente Jocelyn Gourvennec, nuovo titolare Gustavo Poyet",alta,non_controllato,assente_da_wikidata,Bedouet è allenatore aggiunto/preparatore del Bordeaux e assume l'interim dopo l'esonero di Gourvennec (18/1/2,https://fr.wikipedia.org/wiki/%C3%89ric_Bedouet | https://fr.wikipedia.org/wiki/Jocelyn_Gourvennec | https://fr.wikipedia.org/wiki/Gustavo_Poyet
1,FC Girondins Bordeaux,Jaroslav Plasil,2022-02-13,2022-02-13,1,traghettatore,Jaroslav Plasil,alta,non_controllato,nome_diverso,"Petkovic sospeso/allontanato dopo il 5-0 di Reims (7-8/02/2022); Plasil, dello staff, guidò da traghettatore l",https://en.wikipedia.org/wiki/2021%E2%80%9322_FC_Girondins_de_Bordeaux_season | https://www.goal.com/fr/news/bordeaux-vladimir-petkovic-mis-a-pied-ce-lundi/blt66fe7eed2c657e99
1,Hertha BSC,Mark Fotheringham,2022-03-19,2022-03-19,1,vice,Felix Magath,alta,non_controllato,nome_diverso,"Magath, nominato il 13/03/2022, risultò positivo al Covid prima del debutto: seguì Hertha-Hoffenheim 3-0 dall'",https://www.getfootballnewsgermany.com/2022/report-scottish-assistant-manager-mark-fotheringham-stands-in-for-felix-magath-as-hertha-bsc-get-back-to-winning-ways/ | https://africa.espn.com/football/report/_/gameId/608776
1,SpVgg Greuther Fürth,Leonhard Haas,2024-10-29,2024-10-29,1,traghettatore,Leonhard Haas,alta,non_controllato,nome_diverso,"Allenatore della U23, ad interim dal 22/10/2024 dopo l'esonero di Zorniger: guidò 4 gare (fra cui il 2º turno ",https://www.bundesliga.com/en/2bundesliga/news/greuther-furth-sack-alexander-zorniger-haas-interim-coach-29426 | https://www.kicker.de/fuerth-trennt-sich-von-interimstrainer-haas-siewert-uebernimmt-wohl-1067253/artikel | https://www.weltfussball.de/spielbericht/dfb-pokal-2024-2025-2-runde-jahn-regensburg-spvgg-greuther-fuerth/
1,VfL Bochum,Heiko Butscher,2022-09-18,2022-09-18,1,traghettatore,Heiko Butscher,alta,non_controllato,date_diverse,"Butscher (all. U19/vice) fu traghettatore dal 12/09/2022 dopo l'esonero di Thomas Reis: una sola gara, Bochum-",https://en.wikipedia.org/wiki/2022%E2%80%9323_Bundesliga | https://de.wikipedia.org/wiki/Heiko_Butscher | https://de.wikipedia.org/wiki/1._FC_K%C3%B6ln/Saison_2022/23
1,1.FC Union Berlin,Babak Keyhanfar,2024-09-14,2024-09-14,1,vice,Bo Svensson,alta,non_controllato,nome_diverso,"Keyhanfar, vice di Svensson, guidò la sola gara del 14/09/2024 a Lipsia (0-0) perché Svensson era malato; Sven",https://www.tagesspiegel.de/sport/spielt-fur-ein-spiel-keine-rolle-union-und-babak-keyhanfar-fuhlen-sich-auch-ohne-bo-svensson-bereit-12368045.html | https://www.berliner-zeitung.de/sport-leidenschaft/1-fc-union-berlin/1-fc-union-berlin-babak-keyhanfar-eiserne-loyalitaet-li.2246870 | https://en.wikipedia.org/wiki/2024%E2%80%9325_1._FC_Union_Berlin_season
1,AS Monaco,Franck Passi,2019-01-26,2019-01-26,1,traghettatore,Franck Passi (ad interim in panchina); Leonardo Jardim già nominato il 25/01 ma in panchina solo dalla gara successiva,alta,non_controllato,nome_diverso,"Henry sospeso il 24/01, Jardim riassunto il 25/01 ma non ancora in panchina: Passi guidò la sola Dijon-Monaco ",https://en.wikipedia.org/wiki/Franck_Passi | https://www.beinsports.com/france/ligue-1/news/monaco-jardim-ne-sera-pas-sur-le-banc-a-dijon/1094823 | https://en.wikipedia.org/wiki/2018%E2%80%9319_AS_Monaco_FC_season
1,FC Augsburg,Reiner Maurer,2022-02-19,2022-02-19,1,vice,Markus Weinzierl,alta,non_controllato,club_senza_storia,Maurer era Co-Trainer di Weinzierl da fine aprile 2021 a giugno 2022: il 19/02/2022 sostitui' in panchina Wein,https://de.wikipedia.org/wiki/Reiner_Maurer | https://de.wikipedia.org/wiki/FC_Augsburg
1,RCD Mallorca,Gustavo Siviero,2026-02-28,2026-02-28,1,traghettatore,Gustavo Siviero,alta,non_controllato,date_diverse,"Jagoba Arrasate esonerato il 23/02/2026 (Mallorca 18°): Siviero, tecnico del Mallorca B, prese l'interim fino ",https://es.wikipedia.org/wiki/Primera_Divisi%C3%B3n_de_Espa%C3%B1a_2025-26 | https://es.wikipedia.org/wiki/Gustavo_Siviero
1,Genoa CFC,Roberto Murgita,2025-11-03,2025-11-03,1,traghettatore,"Roberto Murgita (interim, assistito da Domenico Criscito)",alta,non_controllato,nome_diverso,"Vieira via il 01/11/2025; il club affidò la guida ad interim a Murgita (Criscito assistente, privo del patenti",https://www.primocanale.it/sport/59859-genoa-mimmo-criscito-nuovo-allenatore-con-murgita-contro-sassuolo-esonerato-vieira.html | https://www.sassuolonews.net/news/vieira-esonerato-il-genoa-cambia-ecco-chi-sara-in-panchina-col-sassuolo-60621 | https://www.ilfattoquotidiano.it/2025/11/05/de-rossi-allenatore-genoa-vieira-esonero-news/8185357/
1,Stade Rennais FC,Sébastien Tambouret,2026-02-13,2026-02-13,1,traghettatore,Sébastien Tambouret,alta,non_controllato,date_diverse,"È il SECONDO interim di Tambouret al Rennes (Wikidata registra solo il primo, nov. 2024 dopo Julien Stéphan): ",https://fr.wikipedia.org/wiki/Saison_2025-2026_du_Stade_rennais_FC
1,FC Metz,José Pinot,2017-10-29,2017-10-29,1,traghettatore,José Pinot (ad interim),media,non_controllato,assente_da_wikidata,"Pinot, responsabile del centro di formazione e allenatore delle riserve del Metz, prese l'interim il 22/10/201",https://fr.wikipedia.org/wiki/Jos%C3%A9_Pinot | https://fr.wikipedia.org/wiki/Championnat_de_France_de_football_2017-2018 | https://fr.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Hantz
1,Rayo Vallecano,Jaime Ramos,2024-02-05,2024-02-05,1,vice,Francisco Rodríguez (Francisco Javier Rodríguez Vílchez),alta,non_controllato,nome_diverso,Jaime Ramos è il secondo di Francisco: sedette in panchina in Rayo-Sevilla del 05/02/2024 perché Francisco era,https://unionrayo.com/francisco-sancion-dos-partidos-expulsion/ | https://es-us.noticias.yahoo.com/deportes/partidos-francisco-tchouameni-unai-garc%C3%ADa-173620525.html | https://www.transfermarkt.us/jaime-ramos/profil/trainer/33525
1,Società Sportiva Lazio S.p.A.,Giovanni Martusciello,2024-03-16,2024-03-16,1,traghettatore,Giovanni Martusciello (interim),alta,non_controllato,nome_diverso,Dopo le dimissioni di Sarri (13/03/2024) il vice Martusciello guidò la sola Frosinone-Lazio 2-3 del 16/03; Tud,https://it.wikipedia.org/wiki/Societ%C3%A0_Sportiva_Lazio_2023-2024 | https://www.tuttomercatoweb.com/i-fatti-del-giorno/sarri-si-dimette-lazio-per-ora-a-martusciello-klose-e-rocchi-gli-altri-nomi-per-la-panchina-1945672 | https://www.cbssports.com/soccer/news/lazio-coach-maurizio-sarri-has-resigns-after-defeat-against-udinese-giovanni-martusciello-to-take-charge/
1,Aston Villa,Mark Delaney,2021-01-08,2021-01-08,1,vice,Dean Smith,alta,non_controllato,nome_diverso,"Focolaio Covid al centro sportivo: Smith e tutta la prima squadra in isolamento, così l'allenatore dell'U23 De",https://clwbpeldroed.org/2021/01/08/mark-delaney-aston-villa-liverpool-fa-cup/ | https://www.avfchistory.co.uk/game/5564 | https://www.goal.com/en-sg/news/aston-villa-first-team-and-manager-smith-to-miss-fa-cup-tie-against-liverpool/1cuslfxiae52g1n191f06zu5y1
1,ACF Fiorentina,Daniele Galloppa,2025-11-06,2025-11-06,1,traghettatore,Daniele Galloppa (interim),alta,non_controllato,nome_diverso,"Esonerato Pioli il 04/11/2025, la squadra fu affidata al tecnico della Primavera Galloppa per la sola gara di ",https://www.ilfattoquotidiano.it/2025/11/04/fiorentina-pioli-esonero-galloppa-notizie/8184175/ | https://it.wikipedia.org/wiki/ACF_Fiorentina_2025-2026 | https://tg24.sky.it/sport/2025/11/07/allenatore-fiorentina-vanoli
1,Juventus FC,Massimo Brambilla,2025-10-29,2025-10-29,1,traghettatore,Massimo Brambilla (ad interim: la Juventus era senza allenatore titolare),alta,non_controllato,nome_diverso,"Tudor esonerato il 27/10 dopo il ko con la Lazio; Brambilla, allenatore della Next Gen, ha guidato la squadra ",https://sport.sky.it/calcio/serie-a/2025/10/27/tudor-juventus-esonero-news-allenatore | https://www.sportmediaset.mediaset.it/mercato/juventus/juventus-crisi-tudor-esonerato_105162070-202502k.shtml | https://www.adnkronos.com/sport/massimo-brambilla-chi-e-allenatore-juventus-esonero-tudor_3yLJm4ueB5wQ6QxD53rLFB
1,Stoke City,Eddie Niedzwiecki,2018-01-15,2018-01-15,1,traghettatore,Eddie Niedzwiecki,alta,non_controllato,assente_da_wikidata,Traghettatore dopo l'esonero di Mark Hughes (6 gennaio 2018): la sua scheda gli attribuisce esattamente 1 part,https://en.wikipedia.org/wiki/Eddie_Niedzwiecki | https://en.wikipedia.org/wiki/2017%E2%80%9318_Stoke_City_F.C._season
1,Wolverhampton Wanderers,Jamie Collins,2025-11-08,2025-11-08,1,traghettatore,James 'Jamie' Collins (ad interim: il Wolverhampton era senza allenatore titolare),alta,non_controllato,nome_diverso,"Stessa persona: il nostro 'Jamie Collins' è James Collins (n. 28/05/1978), head coach dell'U21 del Wolverhampt","https://en.wikipedia.org/wiki/Jamie_Collins_(footballer,_born_1978) | https://www.shropshirestar.com/sport/football/wolverhampton-wanderers/james-collins-departs-role-as-wolves-under-21s-boss-8815918 | https://www.wolves.co.uk/news/mens-first-team/20251107-collins-we-don-t-want-to-waste-a-game/"
1,Cardiff City,Dean Whitehead,2023-01-18,2023-01-18,1,traghettatore,Dean Whitehead (ad interim: il Cardiff era senza allenatore titolare),alta,non_controllato,nome_diverso,"Mark Hudson esonerato la domenica dopo il pari col Wigan; Whitehead, tecnico ad interim, ha guidato il Cardiff",https://feeds.bbci.co.uk/sport/football/64262062 | https://feeds.bbci.co.uk/sport/football/64346581 | https://www.examinerlive.co.uk/sport/football/news/huddersfield-town-sunderland-cardiff-city-25998322
1,AS Saint-Étienne,Julien Sablé,2021-12-11,2021-12-11,1,traghettatore,Julien Sablé (ad interim: il Saint-Étienne era senza allenatore titolare),alta,non_controllato,nome_diverso,"Dopo l'esonero di Claude Puel (seguito al 5-0 col Rennes) Sablé, vice, ha guidato l'ASSE per interim nella sol",https://www.beinsports.com/fr-fr/football/ligue-1/articles/ligue-1-julien-sable-entraineur-par-interim-a | https://en.wikipedia.org/wiki/Julien_Sabl%C3%A9 | https://www.goal.com/fr/news/reims-asse-2-0-pas-d-effet-sable-pour-les-verts/blt8974ff7b154d56be
1,Nottingham Forest,Gary Brazil,2018-01-07,2018-01-07,1,traghettatore,Gary Brazil (ad interim: il Nottingham Forest era senza allenatore titolare),alta,non_controllato,nome_diverso,"Mark Warburton esonerato il 31/12/2017; Brazil, responsabile dell'academy, ha guidato il Forest ad interim nel",https://en.wikipedia.org/wiki/2017%E2%80%9318_Nottingham_Forest_F.C._season | https://www.90min.com/posts/5940835-notts-forest-caretaker-boss-gary-brazil-rubs-salt-in-arsenal-s-wounds-following-shock-fa-cup-victory | https://feeds.bbci.co.uk/sport/football/42526172
1,Nottingham Forest,Rui Pedro Silva,2024-10-21,2024-10-21,1,vice,Nuno Espírito Santo,alta,non_controllato,nome_diverso,"Nuno, head coach in carica, era squalificato per tre giornate (espulsione col Brighton del 22/09): ha seguito ",https://supersport.com/football/news/85520b04-2e86-4441-9c7f-856ad7cbe34c/forest-boss-nuno-hit-with-game-ban | https://www.soccerway.com/news/soccer-premier-league-nottingham-forest-manager-nuno-espirito-santo-given-three-match-touchline-ban/4fNDCaIs | https://trainingground.guru/10731-2/
1,Nottingham Forest,Rui Pedro Silva,2024-11-02,2024-11-02,1,vice,Nuno Espírito Santo,media,non_controllato,nome_diverso,"Stessa squalifica: le tre gare partono dal Crystal Palace del 21/10 e, da calendario, sono Palace (21/10), Lei",https://supersport.com/football/news/85520b04-2e86-4441-9c7f-856ad7cbe34c/forest-boss-nuno-hit-with-game-ban | https://www.soccerway.com/news/soccer-premier-league-nottingham-forest-manager-nuno-espirito-santo-given-three-match-touchline-ban/4fNDCaIs | https://www.sportsmole.co.uk/football/premier-league/nottingham-forest-vs-west-ham-united_game_200073.html
1,EA Guingamp,Sylvain Didot,2018-11-10,2018-11-10,1,traghettatore,Sylvain Didot (in coppia con Vincent Rautureau),alta,non_controllato,date_diverse,Antoine Kombouaré esonerato il 06/11/2018: interim del duo Didot (all. della riserva) - Rautureau per la sola ,https://fr.wikipedia.org/wiki/Saison_2018-2019_de_l%27En_avant_de_Guingamp | https://fr.wikipedia.org/wiki/Sylvain_Didot | https://fr.wikipedia.org/wiki/Antoine_Kombouar%C3%A9
1,Crystal Palace,Patrick McCarthy,2023-03-19,2023-03-19,1,traghettatore,"Patrick (Paddy) McCarthy, interim: Vieira era gia' stato esonerato il 17/03/2023 e Hodgson e' arrivato il 21/03",alta,non_controllato,nome_diverso,"Allenatore dell'U21 del Palace, messo ad interim per la sola trasferta di Arsenal del 19/03/2023 (persa 4-1) f",https://www.cpfc.co.uk/news/announcement/paddy-mccarthy-crystal-palace-arsenal/ | https://feeds.bbci.co.uk/sport/football/64972447 | https://en.wikipedia.org/wiki/2022%E2%80%9323_Crystal_Palace_F.C._season
1,West Bromwich Albion,James Morrison,2026-01-11,2026-01-11,1,traghettatore,"James Morrison, interim (Ryan Mason esonerato il 06/01/2026; Eric Ramsay annunciato lo stesso 11/01 ma non ancora in panchina)",alta,non_controllato,nome_diverso,"Morrison in panchina l'11/01/2026 a Swansea, FA Cup 3o turno, 2-2 dts e 6-5 dcr: Wikidata conosce solo Mason e",https://en.wikipedia.org/wiki/2025%E2%80%9326_West_Bromwich_Albion_F.C._season | https://www.expressandstar.com/sport/football/west-bromwich-albion/2026/01/11/swansea-2-west-brom-2-aet-albion-win-6-5-on-penalties-baggies-seal-place-in-fa-cup-fourth-round-after-rollercoaster-and-chaotic-tie/ | https://www.irishnews.com/sport/soccer/west-brom-edge-into-fa-cup-fourth-round-after-penalty-shoot-out-win-at-swansea-QC6SXO5GVFNFJDRB52YMVATL4Q/
1,Leicester City,Michael Appleton,2017-10-21,2017-10-21,1,traghettatore,"Michael Appleton, interim (Craig Shakespeare esonerato il 17/10/2017, Claude Puel dal 25/10)",alta,non_controllato,nome_diverso,"Appleton, vice-allenatore promosso ad interim, in panchina il 21/10/2017 a Swansea (vittoria 2-1), unica gara ",https://feeds.bbci.co.uk/sport/football/41656917 | https://www.skysports.com/football/news/11712/11088099/leicester-players-felling-raw-following-craig-shakespeare-sacking-admits-michael-appleton | https://africa.espn.com/football/report/_/gameId/480821
1,Leicester City,Ben Dawson,2024-11-30,2024-11-30,1,traghettatore,Ben Dawson in panchina come interim; van Nistelrooij era gia' stato annunciato (29/11) ma segui' la gara dalla tribuna,alta,non_controllato,nome_diverso,Dopo l'esonero di Steve Cooper (24/11) Dawson guido' il Leicester a Brentford il 30/11/2024 (1-4); van Nistelr,https://feeds.bbci.co.uk/sport/football/articles/cx2yev3n9yjo | https://www.espn.com/soccer/report/_/gameId/704402 | https://en.wikipedia.org/wiki/2024%E2%80%9325_Leicester_City_F.C._season
1,Leicester City,Andy King,2026-02-14,2026-02-14,1,traghettatore,"Andy King, interim dal 25/01 al 17/02/2026 (Cifuentes esonerato il 25/01, Rowett dal 18/02)",alta,non_controllato,nome_diverso,"King, bandiera del club promossa ad interim, era in panchina il 14/02/2026 in Leicester-Southampton di FA Cup ",https://www.skysports.com/football/news/11712/13509242/leicester-gary-rowett-appointed-as-manager-until-end-of-season | https://www.espn.com/soccer/match/_/gameId/401850953/leicester-city-southampton | https://en.wikipedia.org/wiki/2025%E2%80%9326_Leicester_City_F.C._season
1,Bologna Football Club 1909,Miroslav Tanjga,2020-07-12,2020-07-12,1,vice,Sinisa Mihajlovic,alta,non_controllato,nome_diverso,Il 12/07/2020 a Parma (2-2) Mihajlovic era squalificato per una giornata dopo l'espulsione col Sassuolo: in pa,https://www.ilrestodelcarlino.it/bologna/sport/bfc/parma-bologna-7558511a | https://www.fanpage.it/sport/calcio/sinisa-mihajlovic-squalificato-per-1-giornata-per-insulti-al-quarto-uomo-dopo-lespulsione/ | https://www.tuttomercatoweb.com/serie-a/parma-bologna-le-formazioni-ufficiali-d-aversa-con-un-tridente-atipico-i-miha-i-sceglie-barrow-1406435
1,Luton Town,Mick Harford,2019-01-15,2019-01-15,1,traghettatore,Mick Harford,alta,non_controllato,assente_da_wikidata,Interim manager del Luton dal 10 gennaio al 7 maggio 2019 dopo il passaggio di Nathan Jones allo Stoke; era in,https://en.wikipedia.org/wiki/2018%E2%80%9319_Luton_Town_F.C._season
1,Luton Town,Paul Trollope,2025-01-11,2025-01-11,1,traghettatore,Paul Trollope (traghettatore; club senza titolare fra Rob Edwards e Matt Bloomfield),alta,non_controllato,nome_diverso,Edwards via per mutuo consenso il 09/01/2025; Trollope (con Richie Kyle e Mick Harford) guida la sola trasfert,https://www.lutontown.co.uk/news/2025/january/9/rob-edwards-departs-luton-town | https://www.lutontoday.co.uk/sport/football/luton-town/luton-caretaker-has-no-idea-what-his-future-holds-after-unique-exit-for-boss-edwards-4940118 | https://en.wikipedia.org/wiki/2024%E2%80%9325_Luton_Town_F.C._season
