league,season,date,home_team,away_team,colonna,valore_prima,valore_dopo,motivo,fonte,stato,decisa_da,data_decisione
ligue_1,1718,2018-02-04,Monaco,Lyon,odds_under25_open,1.54,,"Linea O/U di apertura con overround 1.2823 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il confronto con l'1X2 della stessa partita mostra che i due lati non appartengono alla stessa linea. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato, come gia' fa il guard della Fase 58 per l'overround < 1. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",audit_anomalie.py (controllo 1) + confronto con 1X2,applicata,utente,2026-07-24
bundesliga,2021,2020-11-21,Bielefeld,Leverkusen,home_xg,0.0,,"RITIRATA: la correzione era SBAGLIATA. Understat registra 0 tiri per il Bielefeld perche' la squadra non ha tirato: il suo unico gol e' un AUTOGOL del portiere del Leverkusen Hradecky al 47' (verificato sui dati tiro-per-tiro understat.com/getMatchData/15207, dove l'autogol compare nella lista tiri dell'OSPITE con xG 0.0, e su fonte indipendente). Un xG di 0.00 con un gol segnato NON e' impossibile se il gol e' un autogol: il mio controllo non lo prevedeva. Anche il tiro in porta contato da football-data e' una convenzione diversa sullo stesso autogol.",audit incrociato Understat x football-data (tiri),ritirata,utente,2026-07-24
bundesliga,2021,2020-11-21,Bielefeld,Leverkusen,home_npxg,0.0,,"RITIRATA: la correzione era SBAGLIATA. Understat registra 0 tiri per il Bielefeld perche' la squadra non ha tirato: il suo unico gol e' un AUTOGOL del portiere del Leverkusen Hradecky al 47' (verificato sui dati tiro-per-tiro understat.com/getMatchData/15207, dove l'autogol compare nella lista tiri dell'OSPITE con xG 0.0, e su fonte indipendente). Un xG di 0.00 con un gol segnato NON e' impossibile se il gol e' un autogol: il mio controllo non lo prevedeva. Anche il tiro in porta contato da football-data e' una convenzione diversa sullo stesso autogol.",audit incrociato Understat x football-data (tiri),ritirata,utente,2026-07-24
bundesliga,2021,2020-11-21,Bielefeld,Leverkusen,home_xg,,0.0,"Ripristino del valore ORIGINALE della fonte dopo il ritiro della correzione precedente (vedi righe 'ritirata'): 0.00 e' il valore corretto, la squadra non ha tirato e ha segnato solo grazie a un autogol avversario.",understat.com/getMatchData/15207 (dati tiro-per-tiro),applicata,verifica,2026-07-24
bundesliga,2021,2020-11-21,Bielefeld,Leverkusen,home_npxg,,0.0,"Ripristino del valore ORIGINALE della fonte dopo il ritiro della correzione precedente (vedi righe 'ritirata'): 0.00 e' il valore corretto, la squadra non ha tirato e ha segnato solo grazie a un autogol avversario.",understat.com/getMatchData/15207 (dati tiro-per-tiro),applicata,verifica,2026-07-24
bundesliga,2425,2025-02-09,Holstein Kiel,Bochum,home_xg,2.0,,"xG PRESENTE ma NON MISURATO: e' un SEGNAPOSTO della fonte, non un dato. Understat non ha mai acquisito questa partita -- la lista tiro-per-tiro (getMatchData/27930) e' VUOTA su entrambi i lati, mentre football-data conta 3+6 tiri in porta e i gol sono 2-2. Al posto della misura la fonte ha scritto xG = gol esatti (2.0 / 2.0), npxG = gol meno un rigore (1.25), ppda att=0 def=0 (che infatti arriva a NaN) e deep=0; anche il 'forecast' della fonte e' degenere (0/1/0). Un xG intero identico ai gol su ENTRAMBE le squadre non e' un risultato che il modello di Understat possa produrre. Il valore viene azzerato a NaN: il modello scarta le righe senza segnale secondario (dropna in dixon_coles._fit), quindi la partita continua a contare nel modello-gol e smette di iniettare un xG inventato. Unica riga di questo tipo su 16.110 partite delle 5 leghe appaiate a Understat (16.111 negli snapshot).",understat.com/getMatchData/27930 (lista tiri vuota) x football-data (tiri in porta 3-6),applicata,verifica,2026-07-25
bundesliga,2425,2025-02-09,Holstein Kiel,Bochum,away_xg,2.0,,"xG PRESENTE ma NON MISURATO: e' un SEGNAPOSTO della fonte, non un dato. Understat non ha mai acquisito questa partita -- la lista tiro-per-tiro (getMatchData/27930) e' VUOTA su entrambi i lati, mentre football-data conta 3+6 tiri in porta e i gol sono 2-2. Al posto della misura la fonte ha scritto xG = gol esatti (2.0 / 2.0), npxG = gol meno un rigore (1.25), ppda att=0 def=0 (che infatti arriva a NaN) e deep=0; anche il 'forecast' della fonte e' degenere (0/1/0). Un xG intero identico ai gol su ENTRAMBE le squadre non e' un risultato che il modello di Understat possa produrre. Il valore viene azzerato a NaN: il modello scarta le righe senza segnale secondario (dropna in dixon_coles._fit), quindi la partita continua a contare nel modello-gol e smette di iniettare un xG inventato. Unica riga di questo tipo su 16.110 partite delle 5 leghe appaiate a Understat (16.111 negli snapshot).",understat.com/getMatchData/27930 (lista tiri vuota) x football-data (tiri in porta 3-6),applicata,verifica,2026-07-25
bundesliga,2425,2025-02-09,Holstein Kiel,Bochum,home_npxg,1.25,,"xG PRESENTE ma NON MISURATO: e' un SEGNAPOSTO della fonte, non un dato. Understat non ha mai acquisito questa partita -- la lista tiro-per-tiro (getMatchData/27930) e' VUOTA su entrambi i lati, mentre football-data conta 3+6 tiri in porta e i gol sono 2-2. Al posto della misura la fonte ha scritto xG = gol esatti (2.0 / 2.0), npxG = gol meno un rigore (1.25), ppda att=0 def=0 (che infatti arriva a NaN) e deep=0; anche il 'forecast' della fonte e' degenere (0/1/0). Un xG intero identico ai gol su ENTRAMBE le squadre non e' un risultato che il modello di Understat possa produrre. Il valore viene azzerato a NaN: il modello scarta le righe senza segnale secondario (dropna in dixon_coles._fit), quindi la partita continua a contare nel modello-gol e smette di iniettare un xG inventato. Unica riga di questo tipo su 16.110 partite delle 5 leghe appaiate a Understat (16.111 negli snapshot).",understat.com/getMatchData/27930 (lista tiri vuota) x football-data (tiri in porta 3-6),applicata,verifica,2026-07-25
bundesliga,2425,2025-02-09,Holstein Kiel,Bochum,away_npxg,2.0,,"xG PRESENTE ma NON MISURATO: e' un SEGNAPOSTO della fonte, non un dato. Understat non ha mai acquisito questa partita -- la lista tiro-per-tiro (getMatchData/27930) e' VUOTA su entrambi i lati, mentre football-data conta 3+6 tiri in porta e i gol sono 2-2. Al posto della misura la fonte ha scritto xG = gol esatti (2.0 / 2.0), npxG = gol meno un rigore (1.25), ppda att=0 def=0 (che infatti arriva a NaN) e deep=0; anche il 'forecast' della fonte e' degenere (0/1/0). Un xG intero identico ai gol su ENTRAMBE le squadre non e' un risultato che il modello di Understat possa produrre. Il valore viene azzerato a NaN: il modello scarta le righe senza segnale secondario (dropna in dixon_coles._fit), quindi la partita continua a contare nel modello-gol e smette di iniettare un xG inventato. Unica riga di questo tipo su 16.110 partite delle 5 leghe appaiate a Understat (16.111 negli snapshot).",understat.com/getMatchData/27930 (lista tiri vuota) x football-data (tiri in porta 3-6),applicata,verifica,2026-07-25
bundesliga,2425,2025-02-09,Holstein Kiel,Bochum,home_deep,0.0,,"xG PRESENTE ma NON MISURATO: e' un SEGNAPOSTO della fonte, non un dato. Understat non ha mai acquisito questa partita -- la lista tiro-per-tiro (getMatchData/27930) e' VUOTA su entrambi i lati, mentre football-data conta 3+6 tiri in porta e i gol sono 2-2. Al posto della misura la fonte ha scritto xG = gol esatti (2.0 / 2.0), npxG = gol meno un rigore (1.25), ppda att=0 def=0 (che infatti arriva a NaN) e deep=0; anche il 'forecast' della fonte e' degenere (0/1/0). Un xG intero identico ai gol su ENTRAMBE le squadre non e' un risultato che il modello di Understat possa produrre. Il valore viene azzerato a NaN: il modello scarta le righe senza segnale secondario (dropna in dixon_coles._fit), quindi la partita continua a contare nel modello-gol e smette di iniettare un xG inventato. Unica riga di questo tipo su 16.110 partite delle 5 leghe appaiate a Understat (16.111 negli snapshot).",understat.com/getMatchData/27930 (lista tiri vuota) x football-data (tiri in porta 3-6),applicata,verifica,2026-07-25
bundesliga,2425,2025-02-09,Holstein Kiel,Bochum,away_deep,0.0,,"xG PRESENTE ma NON MISURATO: e' un SEGNAPOSTO della fonte, non un dato. Understat non ha mai acquisito questa partita -- la lista tiro-per-tiro (getMatchData/27930) e' VUOTA su entrambi i lati, mentre football-data conta 3+6 tiri in porta e i gol sono 2-2. Al posto della misura la fonte ha scritto xG = gol esatti (2.0 / 2.0), npxG = gol meno un rigore (1.25), ppda att=0 def=0 (che infatti arriva a NaN) e deep=0; anche il 'forecast' della fonte e' degenere (0/1/0). Un xG intero identico ai gol su ENTRAMBE le squadre non e' un risultato che il modello di Understat possa produrre. Il valore viene azzerato a NaN: il modello scarta le righe senza segnale secondario (dropna in dixon_coles._fit), quindi la partita continua a contare nel modello-gol e smette di iniettare un xG inventato. Unica riga di questo tipo su 16.110 partite delle 5 leghe appaiate a Understat (16.111 negli snapshot).",understat.com/getMatchData/27930 (lista tiri vuota) x football-data (tiri in porta 3-6),applicata,verifica,2026-07-25
la_liga,1819,2018-10-06,Alaves,Real Madrid,odds_over25_open,1.53,,"Linea O/U di apertura con overround 1.2825 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato. Svuotata NON da questo script ma dal guard bilaterale ORR_MAX = 1.12 entrato in src/data/loader.py col commit ec85314: e' la stessa correzione delle 16 celle gemelle di Bundesliga/Ligue 1, applicata da un meccanismo diverso, e si registra qui perche' un fatto solo non puo' avere due politiche (regola R3). Attenzione: applica_correzioni.py NON rilegge questa riga -- il suo dizionario SNAPSHOTS copre solo le due leghe nuove -- quindi la verifica cella-per-cella qui e' quella del guard, ri-eseguibile con python scripts/build_database.py --league la_liga --refresh. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",football-data.co.uk (colonne B365/Avg O/U 2.5 apertura) x overround ricalcolato,applicata,audit 5 leghe (integrazione 2/3),2026-07-26
la_liga,1819,2018-10-06,Alaves,Real Madrid,odds_under25_open,1.59,,"Linea O/U di apertura con overround 1.2825 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato. Svuotata NON da questo script ma dal guard bilaterale ORR_MAX = 1.12 entrato in src/data/loader.py col commit ec85314: e' la stessa correzione delle 16 celle gemelle di Bundesliga/Ligue 1, applicata da un meccanismo diverso, e si registra qui perche' un fatto solo non puo' avere due politiche (regola R3). Attenzione: applica_correzioni.py NON rilegge questa riga -- il suo dizionario SNAPSHOTS copre solo le due leghe nuove -- quindi la verifica cella-per-cella qui e' quella del guard, ri-eseguibile con python scripts/build_database.py --league la_liga --refresh. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",football-data.co.uk (colonne B365/Avg O/U 2.5 apertura) x overround ricalcolato,applicata,audit 5 leghe (integrazione 2/3),2026-07-26
la_liga,1819,2018-11-24,Eibar,Real Madrid,odds_over25_open,1.45,,"Linea O/U di apertura con overround 1.2814 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato. Svuotata NON da questo script ma dal guard bilaterale ORR_MAX = 1.12 entrato in src/data/loader.py col commit ec85314: e' la stessa correzione delle 16 celle gemelle di Bundesliga/Ligue 1, applicata da un meccanismo diverso, e si registra qui perche' un fatto solo non puo' avere due politiche (regola R3). Attenzione: applica_correzioni.py NON rilegge questa riga -- il suo dizionario SNAPSHOTS copre solo le due leghe nuove -- quindi la verifica cella-per-cella qui e' quella del guard, ri-eseguibile con python scripts/build_database.py --league la_liga --refresh. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",football-data.co.uk (colonne B365/Avg O/U 2.5 apertura) x overround ricalcolato,applicata,audit 5 leghe (integrazione 2/3),2026-07-26
la_liga,1819,2018-11-24,Eibar,Real Madrid,odds_under25_open,1.69,,"Linea O/U di apertura con overround 1.2814 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato. Svuotata NON da questo script ma dal guard bilaterale ORR_MAX = 1.12 entrato in src/data/loader.py col commit ec85314: e' la stessa correzione delle 16 celle gemelle di Bundesliga/Ligue 1, applicata da un meccanismo diverso, e si registra qui perche' un fatto solo non puo' avere due politiche (regola R3). Attenzione: applica_correzioni.py NON rilegge questa riga -- il suo dizionario SNAPSHOTS copre solo le due leghe nuove -- quindi la verifica cella-per-cella qui e' quella del guard, ri-eseguibile con python scripts/build_database.py --league la_liga --refresh. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",football-data.co.uk (colonne B365/Avg O/U 2.5 apertura) x overround ricalcolato,applicata,audit 5 leghe (integrazione 2/3),2026-07-26
la_liga,1819,2019-02-10,Leganes,Betis,odds_over25_open,2.48,,"Linea O/U di apertura con overround 1.1279 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato. Svuotata NON da questo script ma dal guard bilaterale ORR_MAX = 1.12 entrato in src/data/loader.py col commit ec85314: e' la stessa correzione delle 16 celle gemelle di Bundesliga/Ligue 1, applicata da un meccanismo diverso, e si registra qui perche' un fatto solo non puo' avere due politiche (regola R3). Attenzione: applica_correzioni.py NON rilegge questa riga -- il suo dizionario SNAPSHOTS copre solo le due leghe nuove -- quindi la verifica cella-per-cella qui e' quella del guard, ri-eseguibile con python scripts/build_database.py --league la_liga --refresh. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",football-data.co.uk (colonne B365/Avg O/U 2.5 apertura) x overround ricalcolato,applicata,audit 5 leghe (integrazione 2/3),2026-07-26
la_liga,1819,2019-02-10,Leganes,Betis,odds_under25_open,1.38,,"Linea O/U di apertura con overround 1.1279 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato. Svuotata NON da questo script ma dal guard bilaterale ORR_MAX = 1.12 entrato in src/data/loader.py col commit ec85314: e' la stessa correzione delle 16 celle gemelle di Bundesliga/Ligue 1, applicata da un meccanismo diverso, e si registra qui perche' un fatto solo non puo' avere due politiche (regola R3). Attenzione: applica_correzioni.py NON rilegge questa riga -- il suo dizionario SNAPSHOTS copre solo le due leghe nuove -- quindi la verifica cella-per-cella qui e' quella del guard, ri-eseguibile con python scripts/build_database.py --league la_liga --refresh. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",football-data.co.uk (colonne B365/Avg O/U 2.5 apertura) x overround ricalcolato,applicata,audit 5 leghe (integrazione 2/3),2026-07-26
bundesliga,1819,2019-05-04,Bayern Munich,Hannover,odds_home,,1.03,"Cella-quota 1X2 di chiusura MANCANTE alla fonte primaria (football-data). Dato REALE recuperato da fonte secondaria dichiarata (regola R2): dataset iredchuk/soccer-bookmaker-odds, identificato per via statistica come chiusura media-di-mercato con due test indipendenti a CI conclusivo e confermato da una SECONDA fonte del tutto indipendente. Piu' preciso 2,8 volte della stima alternativa (MAE 0.0060 contro 0.0160 su probabilita' devigata), che cade a -0.0008..+0.0056 dal dato reale: conferma reciproca. ATTENZIONE: provider diverso dal resto della colonna, per QUESTE 2 partite soltanto - dichiarato in docs/DATI.md.",iredchuk/soccer-bookmaker-odds + 2a fonte indipendente (vedi docs/audit_5_leghe/numeri/caccia_quote_singole.md §3.5),applicata,utente,2026-07-27
bundesliga,1819,2019-05-04,Bayern Munich,Hannover,odds_draw,,18.43,"Cella-quota 1X2 di chiusura MANCANTE alla fonte primaria (football-data). Dato REALE recuperato da fonte secondaria dichiarata (regola R2): dataset iredchuk/soccer-bookmaker-odds, identificato per via statistica come chiusura media-di-mercato con due test indipendenti a CI conclusivo e confermato da una SECONDA fonte del tutto indipendente. Piu' preciso 2,8 volte della stima alternativa (MAE 0.0060 contro 0.0160 su probabilita' devigata), che cade a -0.0008..+0.0056 dal dato reale: conferma reciproca. ATTENZIONE: provider diverso dal resto della colonna, per QUESTE 2 partite soltanto - dichiarato in docs/DATI.md.",iredchuk/soccer-bookmaker-odds + 2a fonte indipendente (vedi docs/audit_5_leghe/numeri/caccia_quote_singole.md §3.5),applicata,utente,2026-07-27
bundesliga,1819,2019-05-04,Bayern Munich,Hannover,odds_away,,43.88,"Cella-quota 1X2 di chiusura MANCANTE alla fonte primaria (football-data). Dato REALE recuperato da fonte secondaria dichiarata (regola R2): dataset iredchuk/soccer-bookmaker-odds, identificato per via statistica come chiusura media-di-mercato con due test indipendenti a CI conclusivo e confermato da una SECONDA fonte del tutto indipendente. Piu' preciso 2,8 volte della stima alternativa (MAE 0.0060 contro 0.0160 su probabilita' devigata), che cade a -0.0008..+0.0056 dal dato reale: conferma reciproca. ATTENZIONE: provider diverso dal resto della colonna, per QUESTE 2 partite soltanto - dichiarato in docs/DATI.md.",iredchuk/soccer-bookmaker-odds + 2a fonte indipendente (vedi docs/audit_5_leghe/numeri/caccia_quote_singole.md §3.5),applicata,utente,2026-07-27
