Competizione,Turno,Data,Casa,Ospite,Periodo,Lato,Squadra,ID partita,Cartellini gialli,Cartellini rossi,Possesso palla,Tiri totali,Tiri in porta,Calci d'angolo,Goal previsti (xG),Grandi occasioni,Passaggi,Tiri fuori,xG sui Tiri in porta (xGOT),Tiri fermati,Tiri dall'area di rigore,Tiri da fuori area,Pali colpiti,Gol di testa,Fuorigioco,Punizioni,Palloni toccati nell'area avversaria,Passaggi filtranti riusciti,Rimesse Laterali,Passaggi lunghi,Passaggi offensivi,Cross,Assist previsti (xA),Falli,Tackles,Contrasti vinti,Respinte difensive,Palle intercettate,Errori che hanno portato al tiro,Errori che hanno portato al gol,Parate,xGot affrontati,Gol evitati
Copa del Rey,1° turno,28.10.2025,RSD Alcala,Tenerife,1° tempo,Casa,RSD Alcala,AHOtJYth,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,RSD Alcala,Tenerife,1° tempo,Ospite,Tenerife,AHOtJYth,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,RSD Alcala,Tenerife,2° tempo,Casa,RSD Alcala,AHOtJYth,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,RSD Alcala,Tenerife,2° tempo,Ospite,Tenerife,AHOtJYth,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,SD Negreira,Real Sociedad,Totale,Casa,SD Negreira,r34Nrqnd,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,SD Negreira,Real Sociedad,Totale,Ospite,Real Sociedad,r34Nrqnd,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,SD Negreira,Real Sociedad,1° tempo,Casa,SD Negreira,r34Nrqnd,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,SD Negreira,Real Sociedad,1° tempo,Ospite,Real Sociedad,r34Nrqnd,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Toledo,Siviglia,Totale,Casa,Toledo,ITUoTcm2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Toledo,Siviglia,Totale,Ospite,Siviglia,ITUoTcm2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Toledo,Siviglia,1° tempo,Casa,Toledo,ITUoTcm2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Toledo,Siviglia,1° tempo,Ospite,Siviglia,ITUoTcm2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Toledo,Siviglia,2° tempo,Casa,Toledo,ITUoTcm2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Toledo,Siviglia,2° tempo,Ospite,Siviglia,ITUoTcm2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,CD Extremadura,Las Palmas,Totale,Casa,CD Extremadura,vNallEsI,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,CD Extremadura,Las Palmas,Totale,Ospite,Las Palmas,vNallEsI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,CD Extremadura,Las Palmas,1° tempo,Casa,CD Extremadura,vNallEsI,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,CD Extremadura,Las Palmas,1° tempo,Ospite,Las Palmas,vNallEsI,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,CD Extremadura,Las Palmas,2° tempo,Casa,CD Extremadura,vNallEsI,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,CD Extremadura,Las Palmas,2° tempo,Ospite,Las Palmas,vNallEsI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Poblense,Sabadell,Totale,Casa,Poblense,WbJVzkkB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Poblense,Sabadell,Totale,Ospite,Sabadell,WbJVzkkB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Poblense,Sabadell,1° tempo,Casa,Poblense,WbJVzkkB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Poblense,Sabadell,1° tempo,Ospite,Sabadell,WbJVzkkB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Poblense,Sabadell,Supplementari,Casa,Poblense,WbJVzkkB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Poblense,Sabadell,Supplementari,Ospite,Sabadell,WbJVzkkB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,UD Los Garres,Elche,Totale,Casa,UD Los Garres,bmjLsc2e,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,UD Los Garres,Elche,Totale,Ospite,Elche,bmjLsc2e,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,UD Los Garres,Elche,1° tempo,Casa,UD Los Garres,bmjLsc2e,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,UD Los Garres,Elche,1° tempo,Ospite,Elche,bmjLsc2e,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,UD Los Garres,Elche,2° tempo,Casa,UD Los Garres,bmjLsc2e,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,UD Los Garres,Elche,2° tempo,Ospite,Elche,bmjLsc2e,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Mutilvera,Saragozza,Totale,Casa,Mutilvera,prelOB55,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Mutilvera,Saragozza,Totale,Ospite,Saragozza,prelOB55,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Mutilvera,Saragozza,1° tempo,Casa,Mutilvera,prelOB55,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Mutilvera,Saragozza,1° tempo,Ospite,Saragozza,prelOB55,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Mutilvera,Saragozza,2° tempo,Casa,Mutilvera,prelOB55,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Mutilvera,Saragozza,2° tempo,Ospite,Saragozza,prelOB55,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Ebro,Tarazona,Totale,Casa,Ebro,Qay4ItZq,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Ebro,Tarazona,Totale,Ospite,Tarazona,Qay4ItZq,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Ebro,Tarazona,1° tempo,Casa,Ebro,Qay4ItZq,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Ebro,Tarazona,1° tempo,Ospite,Tarazona,Qay4ItZq,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Ebro,Tarazona,2° tempo,Casa,Ebro,Qay4ItZq,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Ebro,Tarazona,2° tempo,Ospite,Tarazona,Qay4ItZq,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Ebro,Tarazona,Supplementari,Casa,Ebro,Qay4ItZq,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Ebro,Tarazona,Supplementari,Ospite,Tarazona,Qay4ItZq,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,La Union,Ceuta,Totale,Casa,La Union,lYr5dHoD,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,La Union,Ceuta,Totale,Ospite,Ceuta,lYr5dHoD,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,La Union,Ceuta,2° tempo,Casa,La Union,lYr5dHoD,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,La Union,Ceuta,2° tempo,Ospite,Ceuta,lYr5dHoD,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Sant Just,Maiorca,Totale,Casa,Sant Just,IegdMkzI,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Sant Just,Maiorca,Totale,Ospite,Maiorca,IegdMkzI,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Sant Just,Maiorca,1° tempo,Casa,Sant Just,IegdMkzI,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Sant Just,Maiorca,1° tempo,Ospite,Maiorca,IegdMkzI,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Sant Just,Maiorca,2° tempo,Casa,Sant Just,IegdMkzI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Sant Just,Maiorca,2° tempo,Ospite,Maiorca,IegdMkzI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,29.10.2025,Lorca Deportiva,Almeria,Totale,Casa,Lorca Deportiva,rg9HQJqf,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
