Competizione,Turno,Data,Casa,Ospite,Gol casa 90,Gol ospite 90,Gol casa dts,Gol ospite dts,Rigori casa,Rigori ospite,Risultato (esteso),Nota andata/ritorno,Stat giocatori disponibili,ID partita
Copa del Rey,2° turno,03.12.2025,Murcia,Cadice,3,2,,,,,3-2,,No,MNbuP5ko
Copa del Rey,2° turno,03.12.2025,Torrent,Betis,1,4,,,,,1-4,,Sì,SbAo0PGF
Copa del Rey,2° turno,03.12.2025,Antoniano,Villarreal,0,0,1.0,1.0,3.0,5.0,"1-1, poi rigori 3-5",,No,Mc3fb3oS
Copa del Rey,2° turno,03.12.2025,Reus FCR,Real Sociedad,0,2,,,,,0-2,,Sì,t2zLEOV8
Copa del Rey,2° turno,03.12.2025,Ciudad Cieza,Levante,0,1,,,,,0-1,,Sì,WfL4EFyQ
Copa del Rey,2° turno,03.12.2025,Quintanar del Rey,Elche,1,1,1.0,2.0,,,"1-1 nei 90', 1-2 dopo i supplementari",,No,nLQZ8gam
Copa del Rey,2° turno,03.12.2025,Ourense CF,Girona,2,1,,,,,2-1,,No,Svn9NhEt
Copa del Rey,2° turno,03.12.2025,Pontevedra,Eibar,0,3,,,,,0-3,,No,vwUjvrfd
Copa del Rey,2° turno,04.12.2025,Real Avila,Vallecano,1,1,1.0,2.0,,,"1-1 nei 90', 1-2 dopo i supplementari",,Sì,f75IJAD5
Copa del Rey,2° turno,04.12.2025,Baleares,Espanyol,1,0,,,,,1-0,,Sì,GnwIjCqJ
Copa del Rey,2° turno,04.12.2025,Sabadell,A Coruna,0,2,,,,,0-2,,No,ITlQhs9k
Copa del Rey,2° turno,04.12.2025,Leganes,Albacete,1,2,,,,,1-2,,No,G0Ij5BbC
Copa del Rey,2° turno,04.12.2025,Ponferradina,Racing Santander,1,1,1.0,2.0,,,"1-1 nei 90', 1-2 dopo i supplementari",,No,YcQiY9Sb
Copa del Rey,2° turno,04.12.2025,Sant Andreu,Celta Vigo,0,0,1.0,1.0,6.0,7.0,"1-1, poi rigori 6-7",,Sì,OncZFSCU
Copa del Rey,2° turno,04.12.2025,Cartagena,Valencia,1,1,1.0,2.0,,,"1-1 nei 90', 1-2 dopo i supplementari",,Sì,GMgRHlrI
Copa del Rey,2° turno,04.12.2025,CD Extremadura,Siviglia,1,2,,,,,1-2,,Sì,UPJ0WmcB
Copa del Rey,2° turno,04.12.2025,Saragozza,Burgos CF,0,0,0.0,1.0,,,"0-0 nei 90', 0-1 dopo i supplementari",,No,EerZjLw2
Copa del Rey,2° turno,04.12.2025,Tenerife,Granada,0,1,,,,,0-1,,No,CSBa3kTO
Copa del Rey,1/16 FINALE,16.12.2025,Eibar,Elche,0,1,,,,,0-1,,Sì,IushsOHj
Copa del Rey,1/16 FINALE,16.12.2025,A Coruna,Maiorca,1,0,,,,,1-0,,Sì,GdQLl6PG
Copa del Rey,1/16 FINALE,16.12.2025,Guadalajara,Barcellona,0,2,,,,,0-2,,Sì,YZ1AeEx1
Copa del Rey,1/16 FINALE,16.12.2025,Gijon,Valencia,0,2,,,,,0-2,,Sì,61Nn35vA
Copa del Rey,1/16 FINALE,16.12.2025,Eldense,Real Sociedad,1,2,,,,,1-2,,Sì,nJ32cz8l
Copa del Rey,1/16 FINALE,17.12.2025,Cultural Leonesa,Levante,1,0,,,,,1-0,,Sì,ttPyCZMs
Copa del Rey,1/16 FINALE,17.12.2025,Albacete,Celta Vigo,2,2,2.0,2.0,3.0,0.0,"2-2, poi rigori 3-0",,Sì,U1eJgh7D
Copa del Rey,1/16 FINALE,17.12.2025,Racing Santander,Villarreal,2,1,,,,,2-1,,Sì,lAOTnpfT
Copa del Rey,1/16 FINALE,17.12.2025,Baleares,Atl. Madrid,2,3,,,,,2-3,,Sì,pnZw5R9c
Copa del Rey,1/16 FINALE,17.12.2025,Huesca,Osasuna,1,1,2.0,4.0,,,"1-1 nei 90', 2-4 dopo i supplementari",,Sì,Wr7ReNWq
Copa del Rey,1/16 FINALE,17.12.2025,CF Talavera,Real Madrid,2,3,,,,,2-3,,Sì,4d5Zg11d
Copa del Rey,1/16 FINALE,17.12.2025,Alaves,Siviglia,1,0,,,,,1-0,,Sì,YmsqADif
Copa del Rey,1/16 FINALE,18.12.2025,Burgos CF,Getafe,3,1,,,,,3-1,,Sì,Mer5HeaK
Copa del Rey,1/16 FINALE,18.12.2025,Ourense CF,Ath. Bilbao,0,0,0.0,1.0,,,"0-0 nei 90', 0-1 dopo i supplementari",,Sì,K4mMH4g3
Copa del Rey,1/16 FINALE,18.12.2025,Murcia,Betis,0,2,,,,,0-2,,Sì,SUjUFrOF
Copa del Rey,1/16 FINALE,06.01.2026,Granada,Vallecano,1,3,,,,,1-3,,Sì,ERQf1q9M
Copa del Rey,1/8 FINALE,13.01.2026,A Coruna,Atl. Madrid,0,1,,,,,0-1,,Sì,4h358tSQ
Copa del Rey,1/8 FINALE,13.01.2026,Real Sociedad,Osasuna,2,2,2.0,2.0,4.0,3.0,"2-2, poi rigori 4-3",,Sì,viVC2jv8
Copa del Rey,1/8 FINALE,13.01.2026,Cultural Leonesa,Ath. Bilbao,3,3,3.0,4.0,,,"3-3 nei 90', 3-4 dopo i supplementari",,Sì,tdmQBfHL
Copa del Rey,1/8 FINALE,14.01.2026,Alaves,Vallecano,2,0,,,,,2-0,,Sì,zswp1bK0
Copa del Rey,1/8 FINALE,14.01.2026,Betis,Elche,2,1,,,,,2-1,,Sì,6wX44C9e
Copa del Rey,1/8 FINALE,14.01.2026,Albacete,Real Madrid,3,2,,,,,3-2,,Sì,lQvx3Kkl
Copa del Rey,1/8 FINALE,15.01.2026,Racing Santander,Barcellona,0,2,,,,,0-2,,Sì,dSacA2cE
Copa del Rey,1/8 FINALE,15.01.2026,Burgos CF,Valencia,0,2,,,,,0-2,,Sì,Cvvd6Yvq
Copa del Rey,QUARTI DI FINALE,03.02.2026,Albacete,Barcellona,1,2,,,,,1-2,,Sì,fczog1cR
Copa del Rey,QUARTI DI FINALE,04.02.2026,Alaves,Real Sociedad,2,3,,,,,2-3,,Sì,QuRGmuLl
Copa del Rey,QUARTI DI FINALE,04.02.2026,Valencia,Ath. Bilbao,1,2,,,,,1-2,,Sì,hhIXqcKD
Copa del Rey,QUARTI DI FINALE,05.02.2026,Betis,Atl. Madrid,0,5,,,,,0-5,,Sì,KvKPoJk1
Copa del Rey,SEMI FINALI,11.02.2026,Ath. Bilbao,Real Sociedad,0,1,,,,,0-1,1° turno.,Sì,OAGeSMX2
Copa del Rey,SEMI FINALI,12.02.2026,Atl. Madrid,Barcellona,4,0,,,,,4-0,1° turno.,Sì,IiIBOvXR
Copa del Rey,SEMI FINALI,03.03.2026,Barcellona,Atl. Madrid,3,0,,,,,3-0,Risultato andata: 0-4. Numero di spettatori limitato. Totale: 3-4.,Sì,EN3sJIfk
Copa del Rey,SEMI FINALI,04.03.2026,Real Sociedad,Ath. Bilbao,1,0,,,,,1-0,Risultato andata: 1-0. Totale: 2-0.,Sì,ARE3Q02F
Copa del Rey,FINALE,18.04.2026,Atl. Madrid,Real Sociedad,2,2,2.0,2.0,3.0,4.0,"2-2, poi rigori 3-4",Campo neutro - Estadio de La Cartuja.,Sì,rL8P7Qig
